sent_id,token_id,form,upos,head,deprel,sent_len,is_root
fr-ud-train_06124,19,Laine,PROPN,17,nmod,27,False
fr-ud-train_10763,16,religieuses,ADJ,15,amod,40,False
fr-ud-train_08271,5,un,DET,6,det,29,False
fr-ud-train_01522,11,qui,PRON,13,nsubj:pass,35,False
fr-ud-train_03547,18,de,ADP,20,case,22,False
fr-ud-train_04939,36,pointant,VERB,28,advcl,39,False
fr-ud-train_08865,48,obéira,VERB,44,acl:relcl,52,False
fr-ud-train_11660,4,personnage,NOUN,0,root,28,True
fr-ud-train_02151,1,Phrynobatrachus,PROPN,5,nsubj,14,False
fr-ud-train_11317,16,III,NUM,15,nmod,38,False
fr-ud-train_11344,10,de,ADP,12,case,13,False
fr-ud-train_12103,5,de,ADP,7,mark,12,False
fr-ud-train_08885,3,donc,ADV,4,advmod,48,False
fr-ud-train_09591,24,prochain,ADJ,22,amod,25,False
fr-ud-train_02154,21,offre,NOUN,19,obj,64,False
fr-ud-train_04598,21,%,SYM,17,conj,28,False
fr-ud-train_03101,5,Kang,PROPN,1,appos,30,False
fr-ud-train_05659,24,dirigeant,VERB,15,acl,30,False
fr-ud-train_12468,38,Star,PROPN,33,conj,40,False
fr-ud-train_13788,17,avril,NOUN,16,nmod,19,False
fr-ud-train_07535,2,compte,VERB,0,root,10,True
fr-ud-train_05579,4,frère,NOUN,5,nsubj,16,False
fr-ud-train_11710,16,journées,NOUN,13,nmod,17,False
fr-ud-train_11914,8,a,AUX,9,aux:tense,22,False
fr-ud-train_12713,6,et,CCONJ,8,cc,12,False
fr-ud-train_04437,1,Ils,PRON,6,nsubj,38,False
fr-ud-train_08164,7,essence,NOUN,0,root,9,True
fr-ud-train_14277,7,et,CCONJ,8,cc,15,False
fr-ud-train_00481,2,est,AUX,3,cop,48,False
fr-ud-train_01629,36,1987,NUM,34,nmod,46,False
fr-ud-train_08999,32,marché,NOUN,23,obl:mod,41,False
fr-ud-train_13767,57,les,DET,58,det,61,False
fr-ud-train_02732,20,Lord,PROPN,17,nmod,50,False
fr-ud-train_07414,4,que,SCONJ,9,mark,10,False
fr-ud-train_05004,19,qui,PRON,20,nsubj,28,False
fr-ud-train_02495,10,de,ADP,12,case,30,False
fr-ud-train_08891,1,à,ADP,3,case,24,False
fr-ud-train_06446,4,valut,VERB,0,root,16,True
fr-ud-train_10665,18,à,ADP,19,case,21,False
fr-ud-train_00664,2,succès,NOUN,5,nsubj,6,False
fr-ud-train_04943,9,cm,NOUN,0,root,12,True
fr-ud-train_13804,11,tâche,NOUN,8,obl:arg,26,False
fr-ud-train_08420,4,un,DET,5,det,19,False
fr-ud-train_09129,32,km,NOUN,16,obl:mod,35,False
fr-ud-train_05136,3,et,CCONJ,4,cc,21,False
fr-ud-train_02365,12,saison,NOUN,8,nmod,13,False
fr-ud-train_07266,2,sont,AUX,1,cop,22,False
fr-ud-train_13455,7,dysplasie,NOUN,2,conj,51,False
fr-ud-train_10708,5,poste,NOUN,2,obl:arg,13,False
fr-ud-train_06015,10,sont,AUX,11,cop,12,False
fr-ud-train_07762,26,degrés,NOUN,24,nmod,27,False
fr-ud-train_13227,13,Petitcoudiac,PROPN,11,obl:arg,24,False
fr-ud-train_02270,19,consacre,VERB,2,conj,28,False
fr-ud-train_13283,11,village,NOUN,0,root,24,True
