sent_id,token_id,form,upos,head,deprel,sent_len,is_root
train-s4889,18,उपभोग,NOUN,19,compound,22,False
train-s4168,7,का,ADP,6,case,10,False
train-s9620,14,कर,VERB,1,nsubj,17,False
train-s9108,2,महिलाओं,NOUN,4,nmod,27,False
train-s11896,11,पहले,ADV,9,mark,32,False
train-s11423,19,नहीं,PART,18,advmod,32,False
train-s2160,15,वाली,ADJ,14,compound,41,False
train-s9599,18,प्रधानमंत्री,PROPN,20,nmod,42,False
train-s12850,10,करने,VERB,14,obl,15,False
train-s8306,53,का,ADP,52,case,56,False
train-s3658,2,सुरक्षा,NOUN,3,compound,15,False
train-s781,18,तरह,NOUN,22,nmod,37,False
train-s9407,17,बीच,ADP,15,case,31,False
train-s2334,10,की,ADP,9,case,35,False
train-s3331,3,तनुश्री,PROPN,4,compound,13,False
train-s12449,15,ऐसे,DET,17,det,24,False
train-s9142,36,जमकर,ADV,38,advmod,40,False
train-s8643,1,पार्टी,NOUN,3,nmod,9,False
train-s12212,12,किसी,PRON,13,det,18,False
train-s4065,15,लिए,ADP,13,case,21,False
train-s383,9,स्थित,ADJ,0,root,11,True
train-s1088,1,टिकैत,PROPN,3,nsubj,20,False
train-s1182,15,किया,VERB,0,root,19,True
train-s5419,19,हैं,AUX,18,cop,34,False
train-s1592,7,संगम,NOUN,8,compound,10,False
train-s6986,17,कि,SCONJ,23,mark,25,False
train-s801,6,उसकी,PRON,7,nmod,18,False
train-s4477,10,समर्थन,NOUN,11,compound,21,False
train-s3971,20,एटमी,ADJ,21,amod,36,False
train-s13017,7,कि,SCONJ,18,mark,21,False
train-s6292,1,हालांकि,SCONJ,9,mark,20,False
train-s9595,3,वह,PRON,6,nsubj,9,False
train-s11965,16,अन्य,ADJ,17,amod,21,False
train-s10168,4,के,ADP,1,case,30,False
train-s12699,27,हैं,AUX,25,aux:pass,28,False
train-s11004,9,के,ADP,7,mark,14,False
train-s4886,17,ही,PART,16,dep,27,False
train-s12092,13,में,ADP,12,case,20,False
train-s429,26,हैं,AUX,25,aux,27,False
train-s5104,9,ने,ADP,8,case,21,False
train-s5737,17,बनाने,VERB,55,advcl,57,False
train-s8982,7,के,ADP,6,case,27,False
train-s8860,27,हड़प,NOUN,28,compound,33,False
train-s8181,6,नेता,NOUN,8,nmod,29,False
train-s4984,9,गई,AUX,8,aux,16,False
train-s9499,1,उन्होंने,PRON,2,nsubj,22,False
train-s5751,7,सामने,ADP,5,case,17,False
train-s9802,32,जबरदस्त,ADJ,33,amod,37,False
train-s1003,10,मनोचिकित्सक,NOUN,8,conj,32,False
train-s9202,20,तस्करी,NOUN,21,compound,27,False
train-s8309,7,शहरों,NOUN,14,nmod,28,False
train-s10201,7,कर,VERB,0,root,11,True
train-s9027,3,है,VERB,0,root,22,True
train-s1964,5,जहाजों,NOUN,12,obl,15,False
train-s4602,6,मौजूदा,ADJ,7,amod,29,False
train-s9311,7,को,ADP,6,case,16,False
train-s1264,8,का,ADP,7,case,12,False
train-s10320,3,में,ADP,2,case,13,False
train-s11980,8,नेताओं,NOUN,18,obj,20,False
train-s10301,12,लिए,ADP,11,case,31,False
train-s730,10,पर,CCONJ,16,cc,19,False
train-s11406,6,उन्हें,PRON,8,obj,11,False
train-s7532,5,कहा,VERB,0,root,24,True
train-s6467,26,दंपति,NOUN,29,obj,32,False
train-s8461,8,में,ADP,7,case,22,False
train-s7903,3,भी,PART,2,dep,13,False
train-s9697,5,कहा,VERB,0,root,21,True
train-s2349,6,के,ADP,5,case,24,False
train-s2975,18,कहा,VERB,0,root,54,True
train-s5466,10,बताया,VERB,0,root,35,True
train-s1512,6,अड़चनें,NOUN,0,root,9,True
train-s10184,29,सरकार,NOUN,38,nsubj,41,False
train-s4602,22,गैस,NOUN,24,nmod,29,False
train-s10750,15,का,ADP,14,case,20,False
train-s12844,25,कर,VERB,0,root,27,True
train-s7818,16,मिलेगी,VERB,0,root,17,True
train-s11765,11,व्यवस्था,NOUN,15,iobj,40,False
train-s7152,7,जरूर,ADV,11,advmod,28,False
train-s1192,5,अपने,PRON,6,nmod,24,False
train-s4075,36,के,ADP,35,case,42,False
train-s7998,18,हवा,NOUN,19,nsubj,22,False
train-s5407,21,में,ADP,20,case,31,False
train-s12880,14,फोरेंसिक,PROPN,15,compound,26,False
train-s4568,6,फुकुई,PROPN,14,nsubj,46,False
train-s7109,17,नहीं,PART,18,advmod,19,False
train-s6902,19,प्रबंधन,NOUN,24,nsubj,25,False
train-s2779,25,कहा,VERB,11,conj,32,False
train-s1956,4,नेपाल,NOUN,5,compound,25,False
train-s7071,10,आपसी,ADJ,11,amod,21,False
train-s5056,5,ख्वाज़ा,PROPN,7,compound,12,False
train-s7477,9,किया,VERB,37,advcl,38,False
train-s11883,1,लेकिन,CCONJ,23,cc,26,False
train-s10158,16,गए,AUX,15,aux,18,False
train-s11429,15,बातें,NOUN,16,obj,22,False
train-s1458,2,बाद,ADP,1,case,12,False
train-s1946,2,पाकिस्तान,PROPN,12,nsubj,21,False
train-s6999,12,पास,ADP,11,case,21,False
train-s8736,31,खिलाफ,ADP,29,case,51,False
train-s7813,8,कारण,ADP,6,case,19,False
