sent_id,token_id,form,upos,head,deprel,sent_len,is_root
reviews-133981-0006,2,think,VERB,0,root,10,True
reviews-290594-0013,12,I,PRON,13,nsubj,28,False
weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0002,11,Arab,ADJ,12,amod,22,False
answers-20111108103211AA4XhnU_ans-0006,8,you,PRON,9,nsubj,38,False
email-enronsent12_01-0003,12,the,DET,14,det,17,False
email-enronsent16_01-0088,5,executed,VERB,7,amod,19,False
answers-20111108105749AABv7vx_ans-0003,24,road,NOUN,4,conj,25,False
reviews-131458-0004,16,supplied,VERB,8,acl:relcl,36,False
weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0018,18,Iraq,PROPN,20,nsubj,21,False
weblog-blogspot.com_healingiraq_20050121235804_ENG_20050121_235804-0008,23,brings,VERB,21,acl:relcl,30,False
reviews-334388-0004,1,Not,PART,2,advmod,14,False
answers-20111108111010AASEk0S_ans-0002,8,tank,NOUN,9,compound,34,False
answers-20111108110012AAK8Azy_ans-0038,14,count,VERB,8,conj,17,False
weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0271,21,Revocation,NOUN,4,conj,27,False
email-enronsent12_01-0028,9,on,ADP,11,case,27,False
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0145,1,87,NUM,0,root,22,True
email-enronsent25_01-0020,11,or,CCONJ,9,conj,13,False
reviews-048363-0005,25,and,CCONJ,27,cc,32,False
answers-20111108084119AAhsBk8_ans-0004,8,newest,ADJ,9,amod,13,False
answers-20111106035951AADq0Qg_ans-0006,3,Nguyen,PROPN,6,nsubj,19,False
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0206,22,2000,NUM,20,obl,23,False
answers-20111108061322AAQXY59_ans-0006,3,teacher,NOUN,15,nsubj:pass,47,False
weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0039,3,security,NOUN,4,compound,27,False
reviews-326649-0007,20,electrical,ADJ,16,ccomp,27,False
newsgroup-groups.google.com_humanities.lit.authors.shakespeare_0018a7697318f71f_ENG_20031006_163200-0049,11,RUY,PROPN,10,xcomp,23,False
weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500-0054,9,Sex,NOUN,10,compound,10,False
email-enronsent25_01-0022,29,this,DET,30,det,45,False
