sent_id,token_id,form,upos,head,deprel,sent_len,is_root
train-s9314,14,Familie,NOUN,12,nmod,25,False
train-s4593,5,Anlagen,NOUN,18,nsubj,19,False
train-s11339,8,Substanzgemische,NOUN,12,nsubj:pass,16,False
train-s1758,9,Vergangenheit,NOUN,7,nmod,18,False
train-s3005,5,mag,AUX,7,aux,12,False
train-s467,11,und,CCONJ,20,cc,21,False
train-s2937,18,Muscat,PROPN,6,conj,64,False
train-s1553,14,erzählt,VERB,0,root,16,True
train-s12210,12,der,DET,13,det,20,False
train-s12029,11,Umfahrung,NOUN,9,nmod,17,False
train-s5561,2,Gebäude,NOUN,4,nsubj:pass,17,False
train-s5270,31,unter,ADP,32,case,44,False
train-s8334,12,von,ADP,13,case,19,False
train-s10734,12,Millionen,NOUN,13,nmod,14,False
train-s3858,6,ihre,DET,7,det:poss,12,False
train-s13905,20,um,ADP,38,mark,47,False
train-s2407,12,erkämpfen,VERB,15,advcl,29,False
train-s6367,8,neu,ADJ,9,advmod,30,False
train-s10056,23,et,CCONJ,25,cc,36,False
train-s2402,4,es,PRON,3,nsubj,16,False
train-s8297,10,keine,DET,12,det,28,False
train-s8844,9,1255,NUM,4,appos,16,False
train-s6702,2,Ludwig,PROPN,1,flat,16,False
train-s6990,15,Mangaserie,NOUN,0,root,24,True
train-s3738,21,hatte,AUX,20,aux,22,False
train-s9331,23,wichtigsten,ADJ,26,amod,27,False
train-s13166,8,Edukt,NOUN,6,conj,26,False
train-s10038,21,in,ADP,23,case,28,False
train-s3462,1,In,ADP,3,case,12,False
train-s5266,10,in,ADP,11,case,13,False
train-s8282,15,Häuptling,NOUN,17,obl:agent,22,False
train-s1040,7,Hund,NOUN,4,nmod,16,False
train-s13844,9,dem,DET,10,det,34,False
train-s9901,18,Rekord,NOUN,12,obj,20,False
train-s9765,9,den,PRON,19,obj,20,False
train-s2242,33,Regierungsdirektors,NOUN,31,nmod,34,False
train-s5267,8,2011,NUM,7,nmod,19,False
train-s11005,34,world,X,24,flat,78,False
train-s3026,15,Nevada,PROPN,12,appos,16,False
train-s8461,29,VMS,PROPN,28,appos,36,False
train-s3969,77,Museum,PROPN,64,appos,108,False
train-s12577,11,Agfa,PROPN,18,nsubj,19,False
train-s8074,18,Olympischen,PROPN,19,amod,27,False
train-s11499,4,Mitglied,NOUN,0,root,14,True
train-s1620,1,Ein,DET,2,det,19,False
train-s4930,6,die,DET,7,det,12,False
train-s11543,5,juristischen,ADJ,6,amod,38,False
train-s4343,2,1994,NUM,20,nmod,21,False
train-s8347,4,für,ADP,5,case,6,False
train-s8251,13,Rot,NOUN,3,conj,14,False
train-s11787,3,123,NUM,2,appos,16,False
train-s2604,21,verschoben,VERB,0,root,22,True
train-s2289,15,abgewiesen,VERB,0,root,18,True
train-s13769,2,promovierte,VERB,0,root,18,True
train-s2321,20,herrschte,VERB,6,acl,32,False
train-s3827,13,des,DET,14,det,16,False
train-s8115,5,Antrag,NOUN,2,obj,14,False
train-s789,13,war,AUX,23,cop,24,False
train-s9426,12,Spalten,NOUN,10,conj,16,False
train-s6001,1,Anwesende,ADJ,2,amod,7,False
train-s13584,15,und,CCONJ,17,cc,21,False
train-s6750,1,Auch,ADV,2,advmod,18,False
train-s3610,2,International,PROPN,40,nsubj,57,False
train-s10189,8,und,CCONJ,9,cc,14,False
train-s4384,9,dem,DET,13,det,17,False
train-s9589,1,Seine,DET,2,det:poss,13,False
train-s8378,15,einem,DET,16,det,17,False
train-s6273,24,aus,ADP,25,case,26,False
train-s13191,9,Konzern,NOUN,10,nmod,25,False
train-s4067,30,künstlerischen,ADJ,31,amod,34,False
train-s3126,22,anwenden,VERB,7,conj,32,False
train-s10614,5,Potsdamer,PROPN,6,amod,15,False
train-s6089,3,Budapest,PROPN,1,nmod,24,False
train-s2009,24,keinen,DET,25,det,32,False
train-s9261,9,eingetragen,VERB,0,root,10,True
train-s7639,9,des,DET,10,det,20,False
train-s13833,20,ELLE,PROPN,12,conj,28,False
train-s13451,11,Tage,NOUN,8,appos,12,False
train-s1092,13,wohler,ADJ,9,xcomp,14,False
train-s9861,2,Artikel,NOUN,3,nsubj,13,False
train-s9045,21,früher,ADJ,22,amod,25,False
train-s9901,15,noch,ADV,16,advmod,20,False
train-s3187,10,SAR,PROPN,5,obl,22,False
train-s8401,14,und,CCONJ,15,cc,23,False
train-s14102,13,Heimatland,NOUN,9,obl,16,False
train-s3806,16,Wolfgangs,PROPN,14,flat,19,False
train-s6089,19,Funktion,NOUN,16,nmod,24,False
train-s8440,10,Geschlechtsverkehr,NOUN,7,nmod,32,False
train-s12040,1,Vor,ADP,3,case,39,False
train-s12418,11,je,ADV,14,advmod,76,False
train-s5074,9,Laufbahn,NOUN,15,nmod,16,False
train-s9213,19,stationäres,ADJ,20,amod,24,False
train-s10545,2,Stil,NOUN,3,nsubj,22,False
train-s1902,34,40,NUM,32,nmod,40,False
train-s3103,1,Er,PRON,2,nsubj,5,False
train-s1414,7,sich,PRON,12,obl:arg,14,False
train-s8593,8,langen,ADJ,9,amod,10,False
train-s10292,36,werden,AUX,35,aux:pass,37,False
train-s566,9,schlechtes,ADJ,10,amod,11,False
train-s3726,16,Ebner,PROPN,14,nmod,25,False
train-s1605,1,Nach,ADP,2,case,21,False
train-s2546,12,Jakob,PROPN,11,appos,14,False
train-s9240,7,wurde,VERB,0,root,19,True
train-s1211,3,seitdem,ADV,2,advmod,20,False
train-s12592,1,In,ADP,4,case,24,False
train-s11189,8,Sanierungsprogramm,NOUN,5,nsubj,20,False
train-s10152,9,Adelstitel,NOUN,0,root,23,True
train-s4137,30,dem,DET,31,det,34,False
train-s2417,4,Waldstein,PROPN,1,nmod,12,False
train-s10238,8,obrigkeitlichen,ADJ,9,amod,12,False
train-s13928,36,Protoschach,NOUN,48,obl,49,False
train-s5187,11,Stierkampf,NOUN,12,obl,13,False
train-s5986,14,von,ADP,15,case,33,False
